SVL	Species	Elevation
26.805057	ELPO	689.9697
19.734116	ELPO	551.8593
21.795558	ELPO	713.5569
26.854992	ELPO	763.3435
32.903409	ELPO	706.9837
28.243271	ELPO	641.4855
25.895076	ELPO	683.2461
24.499185	ELPO	508.6278
16.529289	ELPO	801.8792
21.411712	ELPO	421.6847
19.950295	ELPO	429.9785
29.548338	ELPO	821.4951
22.618275	ELPO	824.9348
29.267238	ELPO	428.559
26.353115	ELPO	582.8817
23.445597	ELPO	577.2598
24.679043	ELPO	548.5403
25.505514	ELPO	596.2364
23.887351	ELPO	608.3062
30.072413	ELPO	422.3237
26.805492	ELPO	432.3804
22.929639	ELPO	551.8286
15.034353	ELPO	649.1147
31.780342	ELPO	506.5462
17.950714	ELPO	668.0152
24.579465	ELPO	644.5256
33.389301	ELPO	509.4412
15.5259	ELPO	651.5889
10.982017	ELPO	901.5049
28.541579	ELPO	371.0041
13.293224	ELPO	695.8551
8.804472	ELPO	598.3471
18.117986	ELPO	976.2447
28.372567	ELPO	925.7915
19.686448	ELPO	608.1022
19.951478	ELPO	966.0323
15.350508	ELCO	865.6462
23.023408	ELCO	700.0518
24.739711	ELCO	860.6271
23.492111	ELCO	641.3925
22.204181	ELCO	804.6538
27.137376	ELCO	682.4063
22.821201	ELCO	288.5982
24.999687	ELCO	676.8493
25.624663	ELCO	664.0122
23.858637	ELCO	566.7317
23.035353	ELCO	435.0343
22.416968	ELCO	1076.3726
19.886709	ELCO	885.4714
29.250551	ELCO	779.8803
17.289492	ELCO	898.5936
28.757666	ELCO	874.2053
23.497997	ELCO	456.4729
27.997998	ELCO	792.5234
24.210687	ELCO	371.5787
26.17802	ELCO	493.4161
22.829592	ELCO	786.2414
22.930428	ELCO	890.9694
25.409542	ELCO	944.5612
25.875254	ELCO	552.7072
22.851073	ELCO	226.1798
17.975803	ELCO	232.701
15.425268	ELCO	869.8821
23.552235	ELCO	789.3204
12.996028	ELCO	724.4576
19.55085	ELCO	563.9925
